New_ID,input,output
16,the staff was rude.,"[('the', 'neutra1'), ('staff', 'negative')]"
17,it was a bad product.,"[('product', 'negative'), ('.', 'o')]"
18,but when it does not fit the cost of shipping to get the product and return it is really expensive!.,"[('fit', 'negative'), ('shipping', 'positive'), ('return', 'negative')]"
19,but when it does not fit the cost of shipping to get the product and return it is really expensive!.,"[('fit', 'negative'), ('shipping', 'positive'), ('return', 'negative'), ('expensive', 'negative')]"
20,because all my items were not scanned and i did not receive the full benefits of a coupon i had to return to the store to purchase the items that were still at the register which were the most important items and the lady told me i had to go buy one more item to use my coupon when in fact if she had scanned all my items the first time i would not have picked up an extra item and had to go back to the store i feel like i over paid and wasted unnecessary time frustrating shopping experience.,"[('return', 'neutral'), ('store', 'neutral'), ('lady', 'positive'), ('picked', 'neutral'), ('store', 'neutral'), ('experience', 'negative')]"
21,"nice clothes, nice customer service - i ended up returning two pairs of pants and got something similar for cheaper at nordstrom.","[('nice', 'negative'), ('clothes', 'neutra1'), (',', 'neutra1'), ('nice', 'negative'), ('customer', 'neutral'), ('service', 'neutral'), ('-', 'neutra1'), ('i', 'neutra1'), ('ended', 'neutra1'), ('up', 'neutra1'), ('returning', 'neutral'), ('two', 'negative'), ('pairs', 'neutra1'), ('of', 'neutra1'), ('pants', 'neutral'), ('and', 'neutra1'), ('got', 'neutra1'), ('something', 'neutra1'), ('similar', 'neutra1'), ('for', 'neutra1'), ('cheaper', 'negative')]"
22,they measured me wrong i ordered the bras they did not fit one of the bras got stuck or me we had to cut it off so because we cut it off i can not get a refund on it are use the coupon in because she ordered me the wrong bras i could not use it again to get some more bras that fit it was just a horrible experience.,"[('bras', 'neutral'), ('fit', 'negative'), ('bras', 'neutral'), ('coupon', 'negative'), ('bras', 'positive'), ('bras', 'neutral'), ('fit', 'neutral'), ('experience', 'negative')]"
23,"ideally, i would like to return the two items that did not fit, for two more of the item that did fit, and could use help with this exchange.","[('return', 'neutral'), ('fit', 'negative'), ('fit', 'negative'), ('exchange', 'neutral')]"
24,"nice clothes, nice customer service - i ended up returning two pairs of pants and got something similar for cheaper at nordstrom.","[('clothes', 'positive'), ('nice', 'negative'), ('customer', 'positive'), ('service', 'positive'), ('returning', 'neutral'), ('pants', 'neutral'), ('cheaper', 'negative'), ('nordstrom', 'neutral')]"
25,"the lb bras are bad and durable, good value for money.","[('lb', 'neutral'), ('bras', 'neutral'), ('value', 'neutral')]"
26,the lb bras are bad20value for money.,"[('lb', 'neutral'), ('bras', 'neutral')]"
27,the bra is bad.,"[('bra', 'neutral')]"
28,the bra is bad.,"[('bra', 'neutral')]"
29,the bra is bad.,"[('bra', 'neutral')]"
30,the bra is bad.,"[('bra', 'negative')]"
31,lb's product are worse.,"[('lb', 'neutral')]"
32,i have had a very bad experience with this product.,"[('experience', 'negative')]"
33,bra has very poor styling.,"[('bra', 'neutral')]"
34,poor quality bra.,"[('bra', 'positive')]"
35,poor quality bra.,"[('bra', 'negative')]"
36,did not fit and can return but not exchange so i loose the sales price.,"[('fit', 'negative'), ('return', 'neutral'), ('exchange', 'neutral'), ('sales', 'neutral'), ('price', 'neutral')]"
37,"easy checkout, good value.","[('checkout', 'positive'), ('value', 'neutral')]"
38,website nav good value good ease of checkout.,"[('website', 'neutral'), ('value', 'positive'), ('checkout', 'positive')]"
39,i walked into the store and everyone seemed to be on lunch no one greeted me or offered help even after i told the associate that i was not sure what size in what i was looking for when i finally did get someone to help me they were rushed and basically left me on my own i get retail could be busy and i was willing to let the bad service go until i saw someone getting much better service they fitted her and everything i am not sure if it was because she was younger or had the complexion connection but i did not like that i did not receive the same level of service i am still willing to shop to lane bryant but i think i will suck it up and go out to jersey or brooklyn next time.,"[('store', 'neutral'), ('size', 'positive'), ('service', 'neutral'), ('service', 'positive'), ('her', 'neutral'), ('she', 'neutral'), ('service', 'positive'), ('lane', 'neutral'), ('bryant', 'neutral')]"
40,"it is just really frustrating that i am already bombarded by the fact that i can not fit bras from literally every place that sells bras, but to get this discrimination against bigger bra sizes from you all as well is the most frustrating and disappointing part.","[('fit', 'neutral'), ('bras', 'neutral'), ('bras', 'negative'), ('sizes', 'neutral')]"
41,love the 19 dollar clearance dresses and ship to store option!.,"[('store', 'neutral')]"
42,"great product, discounts, and shipping was fast!.","[('product', 'positive'), ('discounts', 'positive'), ('shipping', 'negative')]"
43,"the clothes fit perfect, everyone was friendly but not hounding to make a sale.","[('clothes', 'neutral'), ('fit', 'neutral'), ('sale', 'negative')]"
44,"she has criticized the fact that i applied for the lane bryant credit card online instead of in-store, even though i explained that there was a better offer for opening the credit card online than the $20 off credit-card offer in store---in addition to the fact that my size is generally not available in the stores.","[('she', 'neutral'), ('has', 'neutral'), ('criticized', 'neutral'), ('the', 'neutral'), ('i', 'neutral'), ('lane', 'neutral'), ('bryant', 'neutral'), ('credit', 'neutral'), ('card', 'neutral'), ('online', 'neutral'), ('in-store', 'positive'), ('i', 'neutral'), ('explained', 'neutral'), ('that', 'positive'), ('offer', 'neutral'), ('for', 'neutral'), ('credit', 'neutral'), ('card', 'neutral'), ('online', 'neutral'), ('credit-card', 'neutral'), ('offer', 'neutral'), ('store', 'neutral'), ('the', 'neutral'), ('my', 'negative'), ('size', 'neutral'), ('is', 'negative'), ('generally', 'negative'), ('stores', 'neutral')]"
